facility_name_static,parking_id,static_data_url,limited_access,static_data_last_updated,dynamic_data_url,locationfordisplay,matched_city_static,address,latitude,longitude,capacity_static,opening_hours_summary,opening_mon,opening_tue,opening_wed,opening_thu,opening_fri,opening_sat,opening_sun,open_all_year,exit_possible_all_day,open_24_7,matched_office,office_address,office_lat,office_lon,distance_km,parkingfacilitydynamicinformation.name,parkingfacilitydynamicinformation.description,parkingfacilitydynamicinformation.identifier,parkingfacilitydynamicinformation.facilityactualstatus.lastupdated,parkingfacilitydynamicinformation.facilityactualstatus.statusdescription,parkingfacilitydynamicinformation.facilityactualstatus.parkingcapacity,parkingfacilitydynamicinformation.facilityactualstatus.vacantspaces,parkingfacilitydynamicinformation.facilityactualstatus.full,parkingfacilitydynamicinformation.facilityactualstatus.open,facility_name_dynamic,matched_city_dynamic,timestamp,parkingfacilitydynamicinformation.facilityactualstatus.chargepointvacantspaces
Parkeergarage Pas de Deux (Zwolle),a2bc4ea0-a218-4a59-a328-36fb8234402b,https://npropendata.rdw.nl/parkingdata/v2/static/a2bc4ea0-a218-4a59-a328-36fb8234402b,False,1767755239,https://npropendata.rdw.nl/parkingdata/v2/dynamic/a2bc4ea0-a218-4a59-a328-36fb8234402b,,Zwolle,,52.503617,6.091695,204.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,1.58,Parkeergarage Pas de Deux (Zwolle),OpenParkeerData,a2bc4ea0-a218-4a59-a328-36fb8234402b,1751870878,Free,195,73,False,True,Parkeergarage Pas de Deux (Zwolle),Zwolle,2026-04-21T15:58:09.015678,
Parkeergarage Diezerpoort (Zwolle),68d5fcce-596d-4f6d-97d5-e67f6f644ac7,https://npropendata.rdw.nl/parkingdata/v2/static/68d5fcce-596d-4f6d-97d5-e67f6f644ac7,False,1767755240,https://npropendata.rdw.nl/parkingdata/v2/dynamic/68d5fcce-596d-4f6d-97d5-e67f6f644ac7,,Zwolle,,52.517227,6.100186,611.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,1.164,Parkeergarage Diezerpoort (Zwolle),OpenParkeerData,68d5fcce-596d-4f6d-97d5-e67f6f644ac7,1751870878,Free,562,418,False,True,Parkeergarage Diezerpoort (Zwolle),Zwolle,2026-04-21T15:58:09.120778,
Parkeergarage Katwoldeplein (Zwolle),92649a4d-67f8-4148-abc5-82cc95dedba3,https://npropendata.rdw.nl/parkingdata/v2/static/92649a4d-67f8-4148-abc5-82cc95dedba3,False,1767755242,https://npropendata.rdw.nl/parkingdata/v2/dynamic/92649a4d-67f8-4148-abc5-82cc95dedba3,,Zwolle,,52.51436,6.086261,700.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,0.35,Parkeergarage Katwoldeplein (Zwolle),OpenParkeerData,92649a4d-67f8-4148-abc5-82cc95dedba3,1751870878,Free,679,566,False,True,Parkeergarage Katwoldeplein (Zwolle),Zwolle,2026-04-21T15:58:09.225033,
Burgemeester van Roijensingel (Zwolle),809116db-8166-4d66-93d1-fc859f4449d8,https://npropendata.rdw.nl/parkingdata/v2/static/809116db-8166-4d66-93d1-fc859f4449d8,False,1767755244,https://npropendata.rdw.nl/parkingdata/v2/dynamic/809116db-8166-4d66-93d1-fc859f4449d8,,Zwolle,,52.507872,6.094565,190.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,1.264,Burgemeester van Roijensingel (Zwolle),OpenParkeerData,809116db-8166-4d66-93d1-fc859f4449d8,1751870878,Free,173,62,False,True,Burgemeester van Roijensingel (Zwolle),Zwolle,2026-04-21T15:58:09.314711,
Parkeergarage Emmawijk - Dek (Zwolle),2d8e6321-7108-4763-ba53-5d107ff6e674,https://npropendata.rdw.nl/parkingdata/v2/static/2d8e6321-7108-4763-ba53-5d107ff6e674,False,1767755240,https://npropendata.rdw.nl/parkingdata/v2/dynamic/2d8e6321-7108-4763-ba53-5d107ff6e674,,Zwolle,,52.509209,6.086367,100.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,0.874,Parkeergarage Emmawijk,OpenParkeerData,2d8e6321-7108-4763-ba53-5d107ff6e674,1751870878,Free,199,151,False,True,Parkeergarage Emmawijk - Dek (Zwolle),Zwolle,2026-04-21T15:58:09.416157,
Parkeergarage Noordereiland - Dek (Zwolle),ff27bae8-ce05-40c6-8422-03da3bd7d9e1,https://npropendata.rdw.nl/parkingdata/v2/static/ff27bae8-ce05-40c6-8422-03da3bd7d9e1,False,1767755242,https://npropendata.rdw.nl/parkingdata/v2/dynamic/ff27bae8-ce05-40c6-8422-03da3bd7d9e1,,Zwolle,,52.515666,6.095621,330.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,0.863,Parkeergarage Noordereiland (Zwolle),OpenParkeerData,ff27bae8-ce05-40c6-8422-03da3bd7d9e1,1751870878,Free,670,553,False,True,Parkeergarage Noordereiland - Dek (Zwolle),Zwolle,2026-04-21T15:58:09.519571,
Parkeergarage Lübeckplein (Zwolle),9e43035c-6707-4b47-a263-d62f0c5d5f84,https://npropendata.rdw.nl/parkingdata/v2/static/9e43035c-6707-4b47-a263-d62f0c5d5f84,False,1767755242,https://npropendata.rdw.nl/parkingdata/v2/dynamic/9e43035c-6707-4b47-a263-d62f0c5d5f84,,Zwolle,,52.503792,6.088352,385.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,1.491,Lubeckplein,OpenParkeerData,9e43035c-6707-4b47-a263-d62f0c5d5f84,1751870878,Free,355,171,False,True,Parkeergarage Lübeckplein (Zwolle),Zwolle,2026-04-21T15:58:09.619131,
Parkeerterrein Hanzelaan (Zwolle),8d632d4a-e8a0-4a18-8c6f-c9f84140464b,https://npropendata.rdw.nl/parkingdata/v2/static/8d632d4a-e8a0-4a18-8c6f-c9f84140464b,False,1767755241,https://npropendata.rdw.nl/parkingdata/v2/dynamic/8d632d4a-e8a0-4a18-8c6f-c9f84140464b,,Zwolle,,52.501297,6.097804,335.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,1.994,Hanzeland (Zwolle),OpenParkeerData,8d632d4a-e8a0-4a18-8c6f-c9f84140464b,1750735072,Closed,0,0,True,False,Parkeerterrein Hanzelaan (Zwolle),Zwolle,2026-04-21T15:58:09.712920,
Garage Centraal (Arnhem),b94f5b35-9793-43f9-927a-889478d76806,https://npropendata.rdw.nl/parkingdata/v2/static/b94f5b35-9793-43f9-927a-889478d76806,False,1765767988,https://npropendata.rdw.nl/parkingdata/v2/dynamic/b94f5b35-9793-43f9-927a-889478d76806,,Arnhem,,51.984411,5.899326,1050.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,0.088,AHP03 - Centraal,,b94f5b35-9793-43f9-927a-889478d76806,1776779850,,1050,215,False,True,Garage Centraal (Arnhem),Arnhem,2026-04-21T15:58:09.804216,
Garage Velperplein (Arnhem),55f5c0fa-d690-4528-90fb-5fe851c476ec,https://npropendata.rdw.nl/parkingdata/v2/static/55f5c0fa-d690-4528-90fb-5fe851c476ec,False,1765767990,https://npropendata.rdw.nl/parkingdata/v2/dynamic/55f5c0fa-d690-4528-90fb-5fe851c476ec,,Arnhem,,51.984368,5.912586,129.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,0.954,AHP02 - Velperplein,,55f5c0fa-d690-4528-90fb-5fe851c476ec,1776779850,,147,54,False,True,Garage Velperplein (Arnhem),Arnhem,2026-04-21T15:58:09.895892,
