facility_name,parking_id,static_data_url,limited_access,static_data_last_updated,dynamic_data_url,locationForDisplay,matched_city,address,latitude,longitude,capacity_static,opening_hours_summary,opening_mon,opening_tue,opening_wed,opening_thu,opening_fri,opening_sat,opening_sun,open_all_year,exit_possible_all_day,open_24_7,matched_office,office_address,office_lat,office_lon,distance_km
Assendorp (Zwolle),f4cc2634-a9e5-4571-bd7b-475b7656aac6,https://npropendata.rdw.nl/parkingdata/v2/static/f4cc2634-a9e5-4571-bd7b-475b7656aac6,False,1767323115,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Carpool Ommen/Zwolle A28,0eea4d0c-1d41-465a-925f-9d53a2acf88f,https://npropendata.rdw.nl/parkingdata/v2/static/0eea4d0c-1d41-465a-925f-9d53a2acf88f,False,1727147958,,,Zwolle,,52.5297,6.1488,35.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,4.677
Dieze-Centrum (Zwolle),00847033-7138-4d02-afb4-6e6fac4aa812,https://npropendata.rdw.nl/parkingdata/v2/static/00847033-7138-4d02-afb4-6e6fac4aa812,False,1767323116,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Parkeerterrein Bisschop Willebrandlaan 2 (Zwolle),97239936-dbfe-4f9b-80d9-f457d1d2714b,https://npropendata.rdw.nl/parkingdata/v2/static/97239936-dbfe-4f9b-80d9-f457d1d2714b,False,1767323115,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Parkeerterrein Albert Cuypstraat (Zwolle),d3552605-53f3-4a1f-9ddf-e2fdcd2708da,https://npropendata.rdw.nl/parkingdata/v2/static/d3552605-53f3-4a1f-9ddf-e2fdcd2708da,False,1767323115,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Parkeergarage Pas de Deux (Zwolle),a2bc4ea0-a218-4a59-a328-36fb8234402b,https://npropendata.rdw.nl/parkingdata/v2/static/a2bc4ea0-a218-4a59-a328-36fb8234402b,False,1767755239,https://npropendata.rdw.nl/parkingdata/v2/dynamic/a2bc4ea0-a218-4a59-a328-36fb8234402b,,Zwolle,,52.503617,6.091695,204.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,1.58
Parkeergarage Diezerpoort (Zwolle),68d5fcce-596d-4f6d-97d5-e67f6f644ac7,https://npropendata.rdw.nl/parkingdata/v2/static/68d5fcce-596d-4f6d-97d5-e67f6f644ac7,False,1767755240,https://npropendata.rdw.nl/parkingdata/v2/dynamic/68d5fcce-596d-4f6d-97d5-e67f6f644ac7,,Zwolle,,52.517227,6.100186,611.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,1.164
Parkeerterrein Hedon/Branie (Zwolle),d04044c5-fc9b-4b95-a249-331593d05e67,https://npropendata.rdw.nl/parkingdata/v2/static/d04044c5-fc9b-4b95-a249-331593d05e67,False,1767755241,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Van Karnebeekstraat (Zwolle),754e1f75-e7f7-4b67-9cb5-bd6bf27fa26a,https://npropendata.rdw.nl/parkingdata/v2/static/754e1f75-e7f7-4b67-9cb5-bd6bf27fa26a,False,1733973648,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Kamperpoort (Zwolle),450d8a24-3b17-4ac8-bbbc-75061566cd57,https://npropendata.rdw.nl/parkingdata/v2/static/450d8a24-3b17-4ac8-bbbc-75061566cd57,False,1767323117,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Parkeergarage Katwoldeplein (Zwolle),92649a4d-67f8-4148-abc5-82cc95dedba3,https://npropendata.rdw.nl/parkingdata/v2/static/92649a4d-67f8-4148-abc5-82cc95dedba3,False,1767755242,https://npropendata.rdw.nl/parkingdata/v2/dynamic/92649a4d-67f8-4148-abc5-82cc95dedba3,,Zwolle,,52.51436,6.086261,700.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,0.35
"Hanzeland Oost, Hanzelaan (Zwolle)",993ba12a-6174-4f31-a712-5865526004e6,https://npropendata.rdw.nl/parkingdata/v2/static/993ba12a-6174-4f31-a712-5865526004e6,False,1767323118,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Pannekoekendijk (Zwolle),a2205aa6-c677-482e-841c-814b30d93966,https://npropendata.rdw.nl/parkingdata/v2/static/a2205aa6-c677-482e-841c-814b30d93966,False,1733973654,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Parkeerterrein Schuttevaerkade (Zwolle),a174d26c-9198-4de5-8656-f5990a54e0dd,https://npropendata.rdw.nl/parkingdata/v2/static/a174d26c-9198-4de5-8656-f5990a54e0dd,False,1767323119,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Parkeerterrein Turfmarkt (Zwolle),c577ed3b-db98-44ec-ba56-9b45279ce906,https://npropendata.rdw.nl/parkingdata/v2/static/c577ed3b-db98-44ec-ba56-9b45279ce906,False,1767323119,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Burgemeester van Roijensingel (Zwolle),809116db-8166-4d66-93d1-fc859f4449d8,https://npropendata.rdw.nl/parkingdata/v2/static/809116db-8166-4d66-93d1-fc859f4449d8,False,1767755244,https://npropendata.rdw.nl/parkingdata/v2/dynamic/809116db-8166-4d66-93d1-fc859f4449d8,,Zwolle,,52.507872,6.094565,190.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,1.264
Parkeergarage Emmawijk - Dek (Zwolle),2d8e6321-7108-4763-ba53-5d107ff6e674,https://npropendata.rdw.nl/parkingdata/v2/static/2d8e6321-7108-4763-ba53-5d107ff6e674,False,1767755240,https://npropendata.rdw.nl/parkingdata/v2/dynamic/2d8e6321-7108-4763-ba53-5d107ff6e674,,Zwolle,,52.509209,6.086367,100.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,0.874
"Arnhemseweg, tussen Stoomwezenstraat en Laan vd Mensenrechten (Apeldoorn)",2b67e033-1677-46dd-9b5b-4ec0702e6d86,https://npropendata.rdw.nl/parkingdata/v2/static/2b67e033-1677-46dd-9b5b-4ec0702e6d86,False,1765595187,,,Arnhem,,,,,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,
Hanzeland (Zwolle),f5f08dfa-bac9-476a-944f-ba090e26a381,https://npropendata.rdw.nl/parkingdata/v2/static/f5f08dfa-bac9-476a-944f-ba090e26a381,False,1767323117,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Parkeergarage Noordereiland - Dek (Zwolle),ff27bae8-ce05-40c6-8422-03da3bd7d9e1,https://npropendata.rdw.nl/parkingdata/v2/static/ff27bae8-ce05-40c6-8422-03da3bd7d9e1,False,1767755242,https://npropendata.rdw.nl/parkingdata/v2/dynamic/ff27bae8-ce05-40c6-8422-03da3bd7d9e1,,Zwolle,,52.515666,6.095621,330.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,0.863
Parkeergarage Lübeckplein (Zwolle),9e43035c-6707-4b47-a263-d62f0c5d5f84,https://npropendata.rdw.nl/parkingdata/v2/static/9e43035c-6707-4b47-a263-d62f0c5d5f84,False,1767755242,https://npropendata.rdw.nl/parkingdata/v2/dynamic/9e43035c-6707-4b47-a263-d62f0c5d5f84,,Zwolle,,52.503792,6.088352,385.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,1.491
Stationsplein Zoen en Zoef (Zwolle),7de1cf9b-d789-4778-8314-6104d3347413,https://npropendata.rdw.nl/parkingdata/v2/static/7de1cf9b-d789-4778-8314-6104d3347413,False,1767323119,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Parkeerterrein t Streekien (Zwolle),2c9378dc-13e9-40d4-94e0-23d033ff2088,https://npropendata.rdw.nl/parkingdata/v2/static/2c9378dc-13e9-40d4-94e0-23d033ff2088,False,1767323119,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Straatparkeren Spijkerlaan (Arnhem),fe3d2cc6-715c-40c9-a548-f992e111d071,https://npropendata.rdw.nl/parkingdata/v2/static/fe3d2cc6-715c-40c9-a548-f992e111d071,False,1765767989,,,Arnhem,,,,,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,
P+R Transferium Gelredome (Arnhem),67c7dc97-8c26-459e-9424-3738da2533fa,https://npropendata.rdw.nl/parkingdata/v2/static/67c7dc97-8c26-459e-9424-3738da2533fa,False,1733973816,,,Arnhem,,,,,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,
Straatparkeren Velperweg (Arnhem),279671fe-8947-4e1d-9508-d86dbb39675c,https://npropendata.rdw.nl/parkingdata/v2/static/279671fe-8947-4e1d-9508-d86dbb39675c,False,1765767991,,,Arnhem,,,,,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,
Parkeerterrein Hanzelaan (Zwolle),8d632d4a-e8a0-4a18-8c6f-c9f84140464b,https://npropendata.rdw.nl/parkingdata/v2/static/8d632d4a-e8a0-4a18-8c6f-c9f84140464b,False,1767755241,https://npropendata.rdw.nl/parkingdata/v2/dynamic/8d632d4a-e8a0-4a18-8c6f-c9f84140464b,,Zwolle,,52.501297,6.097804,335.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,1.994
"Arnhemseweg, tussen Stoomwezenstraat en Koning Stadhouderlaan (Apeldoorn)",f3fd0935-2b60-4fb9-bb67-4fbc6ab5b3c0,https://npropendata.rdw.nl/parkingdata/v2/static/f3fd0935-2b60-4fb9-bb67-4fbc6ab5b3c0,False,1765595187,,,Arnhem,,,,,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,
Dieze-West (Zwolle),3e4e7196-9917-4e05-b0fd-12912c83d560,https://npropendata.rdw.nl/parkingdata/v2/static/3e4e7196-9917-4e05-b0fd-12912c83d560,False,1767323116,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Rigastraat (Zwolle),71bb17fe-9e06-4890-9823-7a47dcb83e84,https://npropendata.rdw.nl/parkingdata/v2/static/71bb17fe-9e06-4890-9823-7a47dcb83e84,False,1767323118,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Utrechtseweg,f02a473f-8f6c-4777-9f7a-1bd335181e39,https://npropendata.rdw.nl/parkingdata/v2/static/f02a473f-8f6c-4777-9f7a-1bd335181e39,False,1765767994,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
Garage Centraal (Arnhem),b94f5b35-9793-43f9-927a-889478d76806,https://npropendata.rdw.nl/parkingdata/v2/static/b94f5b35-9793-43f9-927a-889478d76806,False,1765767988,https://npropendata.rdw.nl/parkingdata/v2/dynamic/b94f5b35-9793-43f9-927a-889478d76806,,Arnhem,,51.984411,5.899326,1050.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,0.088
Straatparkeren Eusebiusbuitensingel (Arnhem),ebed6ddc-aedf-47c6-a603-059326387f3f,https://npropendata.rdw.nl/parkingdata/v2/static/ebed6ddc-aedf-47c6-a603-059326387f3f,False,1765767988,,,Arnhem,,,,,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,
Garage Velperplein (Arnhem),55f5c0fa-d690-4528-90fb-5fe851c476ec,https://npropendata.rdw.nl/parkingdata/v2/static/55f5c0fa-d690-4528-90fb-5fe851c476ec,False,1765767990,https://npropendata.rdw.nl/parkingdata/v2/dynamic/55f5c0fa-d690-4528-90fb-5fe851c476ec,,Arnhem,,51.984368,5.912586,129.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,0.954
Centrum (Zwolle),cfaeb9bc-f7d8-4dbe-a7b6-0dfdceb04e94,https://npropendata.rdw.nl/parkingdata/v2/static/cfaeb9bc-f7d8-4dbe-a7b6-0dfdceb04e94,False,1767323115,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
"Parkeerterrein Vechtstraat, achter supermarkt (Zwolle)",13ef335a-cc6b-4070-8125-97c9f583f08e,https://npropendata.rdw.nl/parkingdata/v2/static/13ef335a-cc6b-4070-8125-97c9f583f08e,False,1767323119,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Stationsbuurt (Zwolle),9a8337f3-45c7-4feb-8169-e148ec40923a,https://npropendata.rdw.nl/parkingdata/v2/static/9a8337f3-45c7-4feb-8169-e148ec40923a,False,1767323119,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Garage Rozet (Arnhem),45abe415-46d3-422f-9db5-4a783328e490,https://npropendata.rdw.nl/parkingdata/v2/static/45abe415-46d3-422f-9db5-4a783328e490,False,1765767989,https://npropendata.rdw.nl/parkingdata/v2/dynamic/45abe415-46d3-422f-9db5-4a783328e490,,Arnhem,,51.979481,5.906031,450.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,0.802
Garage Musis (Arnhem),3e43afd2-aa12-4986-9927-73f883d30e55,https://npropendata.rdw.nl/parkingdata/v2/static/3e43afd2-aa12-4986-9927-73f883d30e55,False,1765767989,https://npropendata.rdw.nl/parkingdata/v2/dynamic/3e43afd2-aa12-4986-9927-73f883d30e55,,Arnhem,,51.981698,5.913364,690.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,1.073
Straatparkeren Schilstraten (Arnhem),3f85c0a5-2853-41f1-80e2-798b4fa8bee6,https://npropendata.rdw.nl/parkingdata/v2/static/3f85c0a5-2853-41f1-80e2-798b4fa8bee6,False,1765767989,,,Arnhem,,,,,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,
P+R Transferium Gelredome (Arnhem),08105653-c07a-4a6c-98bc-573ec70afeb8,https://npropendata.rdw.nl/parkingdata/v2/static/08105653-c07a-4a6c-98bc-573ec70afeb8,False,1733973815,,,Arnhem,,51.964614,5.892177,645.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,2.321
Arnhemseweg,c9a88156-86cd-4fb7-bd02-ec84ece9958c,https://npropendata.rdw.nl/parkingdata/v2/static/c9a88156-86cd-4fb7-bd02-ec84ece9958c,False,1765336140,,,Arnhem,,,,,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,
Arnhemseweg (tussen Zonnehof en Bergstraat),d44a4c4e-4c11-4560-bf98-d6d394a851d6,https://npropendata.rdw.nl/parkingdata/v2/static/d44a4c4e-4c11-4560-bf98-d6d394a851d6,False,1766027341,,,Arnhem,,,,,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,
Arnhemseweg (Pr. Julianaplein en Veldstraat),9935aeb6-9a39-48fd-9457-9f1eddc4a056,https://npropendata.rdw.nl/parkingdata/v2/static/9935aeb6-9a39-48fd-9457-9f1eddc4a056,False,1766027343,,,Arnhem,,,,,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,
Stadsring (paralleweg tussen van Asch van Wijckstraat en Arnhemseweg),ed6f42dd-3c7d-4859-88c9-a24d747e75c0,https://npropendata.rdw.nl/parkingdata/v2/static/ed6f42dd-3c7d-4859-88c9-a24d747e75c0,False,1766027342,,,Arnhem,,,,,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,
Straatparkeren Utrechtseweg,433f7064-974f-42c2-b7f1-703341f89bcf,https://npropendata.rdw.nl/parkingdata/v2/static/433f7064-974f-42c2-b7f1-703341f89bcf,False,1765767992,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
Utrechtseweg (tussen Joannes Tolliusstraat en Appelweg),5ddcade4-4d17-442d-9990-d5d2f7260f7a,https://npropendata.rdw.nl/parkingdata/v2/static/5ddcade4-4d17-442d-9990-d5d2f7260f7a,False,1766027346,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
Gehandicapten parkeren Utrecht,0f589e8d-5043-48cb-807c-f55b4c5f1598,https://npropendata.rdw.nl/parkingdata/v2/static/0f589e8d-5043-48cb-807c-f55b4c5f1598,False,1759893022,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
Zonnehof (vanaf Arnhemseweg links in de vakken),48357b98-d3ab-49ac-bb91-9996be367358,https://npropendata.rdw.nl/parkingdata/v2/static/48357b98-d3ab-49ac-bb91-9996be367358,False,1766027342,,,Arnhem,,,,,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,
Appelweg (parkeerterrein kruising Utrechtseweg  Appelweg),b510b0fd-e859-4cc3-80de-d2c4dc0e25ca,https://npropendata.rdw.nl/parkingdata/v2/static/b510b0fd-e859-4cc3-80de-d2c4dc0e25ca,False,1766027346,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
Parkeerterrein Beyerd Vlaszak (Breda),61e58f07-e5a8-4534-9241-317e2c7d9160,https://npropendata.rdw.nl/parkingdata/v2/static/61e58f07-e5a8-4534-9241-317e2c7d9160,False,1733979435,,,Breda,,,,,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,
Garage Het Turfschip (Breda),6ea457a0-c73c-4b1a-8602-ff6af1114fe3,https://npropendata.rdw.nl/parkingdata/v2/static/6ea457a0-c73c-4b1a-8602-ff6af1114fe3,False,1733979438,,,Breda,,51.58901,4.785656,600.0,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,2.249
Parkeerterrein Diezeveste (Zwolle),01f2df4f-b2e2-4e85-86ff-f3159558e476,https://npropendata.rdw.nl/parkingdata/v2/static/01f2df4f-b2e2-4e85-86ff-f3159558e476,False,1767323116,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Carpool Zwolle-Zuid A28,b71f311d-67a1-4633-90a9-2f6a6deb507f,https://npropendata.rdw.nl/parkingdata/v2/static/b71f311d-67a1-4633-90a9-2f6a6deb507f,False,1727147958,,,Zwolle,,52.506397,6.065147,45.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,1.673
Gebiedscode Markt/Oude Bredaseweg,593b8f17-2c2f-477c-9100-4d8b4be3a13d,https://npropendata.rdw.nl/parkingdata/v2/static/593b8f17-2c2f-477c-9100-4d8b4be3a13d,False,1766460591,,,Breda,,,,,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,
Straatparkeren Boulevard Heuvelink (Arnhem),5c24036e-d67f-4b49-825f-fa0364d621bd,https://npropendata.rdw.nl/parkingdata/v2/static/5c24036e-d67f-4b49-825f-fa0364d621bd,False,1765767988,,,Arnhem,,,,,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,
Garage Velperpoort (Arnhem),301ed8b0-9019-46ca-890a-bb496c494ba0,https://npropendata.rdw.nl/parkingdata/v2/static/301ed8b0-9019-46ca-890a-bb496c494ba0,False,1733973818,,,Arnhem,,51.985234,5.91878,125.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,1.375
Straatparkeren Van Verschuerplein (Arnhem),1c895cd7-57f1-4c88-8a46-7a1371a7790c,https://npropendata.rdw.nl/parkingdata/v2/static/1c895cd7-57f1-4c88-8a46-7a1371a7790c,False,1765767990,,,Arnhem,,,,,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,
Garage De Grifthoek (Utrecht),ed1ecb9f-bbf1-4578-97c7-16cd3ed8b4da,https://npropendata.rdw.nl/parkingdata/v2/static/ed1ecb9f-bbf1-4578-97c7-16cd3ed8b4da,False,1733981393,https://npropendata.rdw.nl/parkingdata/v2/dynamic/ed1ecb9f-bbf1-4578-97c7-16cd3ed8b4da,,Utrecht,,52.09805,5.126233,320.0,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,0.881
